ID_IE,department,urban.rural,treatment,Ttl_teaching_periods,Teaching_Grade,Work_Shift_G7,Multigrade_G7,Teaching_other_subject_G7,Year_Start_teach,Year_Start_this_school,Teachr_Qualification__1,Teachr_Qualification__2,Teachr_Qualification__3,Teachr_Qualification__4,Teachr_Qualification__5,Teachr_Qualification__6,Teachr_Qualification__7,Teachr_Qualification__8,Teachr_Apontmt_Post__1,Teachr_Apontmt_Post__2,Teachr_Apontmt_Post__3,Teachr_Apontmt_Post__4,Inductive_Training,Classroom_Situation__1,Classroom_Situation__2,Classroom_Situation__3,Classroom_Situation__4,No_Students_F_G7,No_Students_M_G7,No_Students_Ttl_G7,Grade,No_Students_Female,No_Students_Male,Total_No_Students,treatment_d,Teacher_Sex,Highest_Degree_highschool,Highest_Degree_professorate,Highest_Degree_bachelor,Highest_Degree_master,Highest_Degree_doctor,Work_Shift_G7_morning,Work_Shift_G7_afternoon,Work_Shift_G7_both,Year_Start_teach_r,Teacher_Age
424475,SAN MIGUEL,Urbana,Control,25,0,1,2,0,2007,2009,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,9,13,22,7,9,13,22,0,1,0,0,0,0,0,1,0,0,12,42
411705,SAN MIGUEL,Urbana,Treatment,32,0,1,2,0,2002,2009,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,11,17,28,7,10,15,25,1,0,0,0,0,1,0,1,0,0,17,37
426020,SAN MIGUEL,Urbana,Control,31,0,1,2,0,2011,2015,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,8,4,12,7,8,4,12,0,1,0,1,0,0,0,1,0,0,8,29
426108,SAN MIGUEL,Urbana,Control,25,0,1,2,0,2000,2004,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,0,13,14,27,7,13,14,27,0,1,0,0,1,0,0,1,0,0,19,42
430361,SAN MIGUEL,Rural,Control,25,0,1,1,0,2009,2010,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,5,5,10,7,4,4,8,0,1,0,0,1,0,0,1,0,0,10,54
412810,SAN MIGUEL,Urbana,Treatment,9,0,2,2,0,1999,2017,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,10,10,20,7,10,9,19,1,0,0,1,0,0,0,0,1,0,20,42
428072,SAN MIGUEL,Rural,Control,25,0,1,2,0,2014,2018,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,8,15,23,7,5,8,13,0,1,0,1,0,0,0,1,0,0,5,25
427120,SAN MIGUEL,Urbana,Control,25,0,1,2,0,1999,2007,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,6,10,16,7,6,10,16,0,0,0,1,0,0,0,1,0,0,20,42
418891,SAN MIGUEL,Rural,Treatment,20,0,1,1,0,2011,2016,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,7,4,11,7,7,4,11,1,0,0,0,1,0,0,1,0,0,8,29
412834,SAN MIGUEL,Urbana,Treatment,25,0,1,2,0,2002,2017,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,17,14,31,7,16,9,25,1,0,0,1,0,0,0,1,0,0,17,48
414081,SAN MIGUEL,Urbana,Treatment,25,0,1,2,0,1996,2002,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,19,13,32,7,17,7,24,1,1,0,0,1,0,0,1,0,0,23,51
427805,SAN MIGUEL,Urbana,Control,20,0,1,2,0,2014,2015,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,7,13,20,7,6,10,16,0,1,0,1,0,0,0,1,0,0,5,25
414472,SAN MIGUEL,Urbana,Treatment,25,0,1,2,0,2017,2018,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,11,9,20,7,9,7,16,1,1,0,1,0,0,0,1,0,0,2,22
428374,SAN MIGUEL,Urbana,Control,50,0,3,2,1,2013,2018,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,12,13,25,7,10,10,20,0,1,0,1,0,0,0,0,0,1,6,26
427207,SAN MIGUEL,Urbana,Control,25,0,2,2,0,2012,2018,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,7,7,14,7,6,6,12,0,1,0,1,0,0,0,0,1,0,7,26
